Category,Course Title,Course URL
undergraduate,BA (Hons) Accounting,https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting
undergraduate,BA (Hons) Accounting & Finance,https://www.bournemouth.ac.uk/study/courses/ba-hons-accounting-finance-2
undergraduate,BA (Hons) Finance,https://www.bournemouth.ac.uk/study/courses/ba-hons-finance
undergraduate,BA (Hons) International Finance (Top-up),https://www.bournemouth.ac.uk/study/courses/ba-hons-international-finance-top-0
undergraduate,BSc (Hons) Economics,https://www.bournemouth.ac.uk/study/courses/bsc-hons-economics
undergraduate,"BSc (Hons) Archaeological, Anthropological and Forensic Sciences",https://www.bournemouth.ac.uk/study/courses/bsc-hons-archaeological-anthropological-forensic-sciences-2
undergraduate,BSc (Hons) Archaeology,https://www.bournemouth.ac.uk/study/courses/bsc-hons-archaeology
undergraduate,BA (Hons) Business & Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-2
undergraduate,BA (Hons) Business & Management (Economics),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-economics-0
undergraduate,BA (Hons) Business & Management (Entrepreneurship),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-entrepreneurship
undergraduate,BA (Hons) Business & Management (Finance),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-finance-0
undergraduate,BA (Hons) Business & Management (Global Operations),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-global-operations
undergraduate,BA (Hons) Business & Management (HRM),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-hrm
undergraduate,BA (Hons) Business & Management (Marketing),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-marketing
undergraduate,BA (Hons) Business & Management (Project Management),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-project-management
undergraduate,BA (Hons) Business and Management (Top-up),https://www.bournemouth.ac.uk/study/courses/ba-hons-business-management-top
undergraduate,BA (Hons) International Business & Management,https://www.bournemouth.ac.uk/study/courses/ba-hons-international-business-management-0
